timestamp_sec,step,elbow_angle_rad,inter_force,target_angle_rad,angular_velocity,human_torque,motor_torque
0.0,1,2.9735555974878016,-0.059542372742005356,2.27,-3.485898370514029,0.48648176687789374,-0.19775822579014662
0.02,2,2.903837630077521,-0.0023696253010201443,2.27,-3.0503331274206458,0.39779773194797086,-0.144568428234971
0.04,3,2.851542272390976,0.06453675810331655,2.27,-2.178982991277767,0.7477171264417368,0.22646816326675473
0.06,4,2.8166783104264104,0.174522803415281,2.27,-2.178756320503983,0.16909062599665986,-0.08303045417553268
0.08,5,2.7643920195708165,0.23601653780014678,2.27,-2.6144160150404994,1.6861481268133365,0.1074694150473775
0.1,6,2.7121016698247904,0.2763882826041733,2.27,-2.6146721009406737,-0.4601954025336879,-1.0111574665978675
0.12,7,2.6598051355331895,0.29866418807435685,2.27,-2.6147002102763883,-0.19931919500760062,-0.4715284042336312
0.14,8,2.607513661413735,0.3457244878476596,2.27,-2.178914562192491,-0.030432043737373068,0.7019793693296468
0.16,9,2.57264855304549,0.34739616103214294,2.27,-2.1790405984171035,-0.7093752292957014,-0.009275402255820112
0.18,10,2.5203520374770507,0.34659909427686725,2.27,-2.614737316918825,0.5212458086697105,-0.8367523109951116
0.2,11,2.468059060368737,0.34659948112707567,2.27,-2.6149182607302146,0.4517662453129212,-0.5362659172178288
0.22,12,2.415755307047842,0.37850993701611435,2.27,-2.179379229745959,0.009500165531074882,-0.49629308970159525
0.24,13,2.3808838911788985,0.4294708705998767,2.27,-2.179210355656558,-0.2672082268367526,0.051173841274833404
0.26,14,2.32858689282158,0.46110245897625407,2.27,-2.6149062358147956,-0.747526935407168,-0.21630464027400662
0.28,15,2.2762876417463067,0.46042505985815807,2.27,-5.229506014940621,-0.39462916434896006,-0.32959115121823895
0.3,16,2.119406652223955,0.37323300272810256,2.27,-5.22949291406003,0.3718556418856134,0.001968652215701387
0.32,17,2.0671079251839055,0.3230281482194494,2.27,-2.6149993869556853,-0.10608071085581326,0.23887704971676355
0.34,18,2.0148066767457276,0.32585536872767884,2.27,-2.1789177868528684,-0.21343439701986142,-0.12951432236944527
0.36,19,1.9799512137097908,0.3035800197428183,2.27,-2.1787694709277714,0.2507241657624026,-0.28735460380669975
0.38,20,1.9276558979086167,0.2883516357979863,2.27,-2.614729126995552,0.5790933264660139,-0.21074911016994177
0.4,21,1.8753620486299687,0.2516432497284539,2.27,-2.6148789984812737,0.12855843502813968,0.16991048209332188
0.42,22,1.8230607379693657,0.289266936850738,2.27,-2.614955487347431,0.15725644793158586,-0.0036900749722865033
0.44,23,1.7707638291360714,0.29288923451626186,2.27,-2.1789786375031706,0.6859310667748882,0.383648419353202
0.46,24,1.735901592469239,0.29288978433974977,2.27,-2.1790544638597806,0.08777664697741634,-0.5748962887471792
0.48,25,1.6836016505816802,0.37811103892546793,2.27,-2.6148062579284703,-0.15464427322228882,-0.38766805297847207
0.5,26,1.6313093421521,0.3925234131916711,2.27,-2.1789525725702696,0.33656275138698755,0.38657042794462443
0.52,27,1.5964435476788694,0.401143681095772,2.27,-2.179035996541273,-0.1283150913462772,-0.4009139216748469
0.54,28,1.5441479022904492,0.49496434661180544,2.27,-3.486390803023365,-0.18391286206638063,0.6920078594663391
0.56,29,1.4569879155579348,0.5565964573817896,2.27,-3.486122806531583,0.636866810069778,0.702602652939094
0.58,30,1.4047029900291859,0.5348782020871745,2.27,-2.614479498363603,-0.14597633541281005,0.6961628767459515
0.6,31,1.3524087356233907,0.509416786588535,2.27,-2.614843247002796,-1.327588023781735,-0.44032040926488464
0.62,32,1.300109260149074,0.6494715867747237,2.27,-2.614973773715834,0.17275897194438314,0.03844747429228571
